R1 : S1,S3 - F1
R2 : S2,S3 - F2
R3 : S1,S2 - F3
R4 : S4,S1 - F4
R5 : S1,S1 - F5
R6 : S3,S3 - F5
R7 : S4,S3 - F6
R8 : S4,S4 - F7
R9 : S4,S2 - F8
R10 : S4,F2 - F8
R11 : S3,F5 - F9
R12 : F4,S2 - F10
R13 : S3,F8 - F11
R14 : S1,F2 - F12
R15 : F6,F6 - F13
R16 : F8,S1 - F14
R17 : F3,F5 - F144
R18 : S2,F1 - F15
R19 : F3,S4 - F16
R20 : S4,F7 - F17
R21 : S1,F6 - F18
R22 : F7,S2 - F19
R23 : F17,S2 - F19
R24 : S3,F3 - F20
R25 : S1,F3 - F21
R26 : S3,F5 - F22
R27 : S3,F2 - F22
R28 : S4,F18 - F23
R29 : F17,F18 - F23
R30 : F7,F18 - F23
R31 : F21,F2 - F24
R32 : F5,F18 - F25
R33 : F18,F11 - F26
R34 : F21,F2 - F27
R35 : S2,F15 - F28
R36 : S1,F11 - F29
R37 : F18,F18 - F30
R38 : S1,F18 - F31
R39 : F22,F2 - F32
R40 : F7,F21 - F33
R41 : F17,F21 - F33
R42 : S1,F20 - F34
R43 : F20,F18 - F35
R44 : F20,F23 - F35
R45 : F12,S1 - F36
R46 : F20,S3 - F37
R47 : F20,F22 - F37
R48 : S3,F11 - F38
R49 : F11,F2 - F39
R50 : F4,F18 - F40
R51 : F4,F31 - F40
R52 : F18,F12 - F41
R53 : F7,F12 - F42
R54 : F10,F10 - F43
R55 : F7,F22 - F44
R56 : F17,F22 - F44
R57 : F33,F33 - F45
R58 : F2,F28 - F46
R59 : S4,F37 - F47
R60 : F7,F37 - F47
R61 : F17,F37 - F47
R62 : F34,F20 - F48
R63 : F8,F34 - F49
R64 : F15,F34 - F50
R65 : F37,F18 - F51
R66 : F37,F4 - F52
R67 : F37,F37 - F53
R68 : F37,F51 - F53
R69 : F29,F31 - F54
R70 : S4,F31 - F54
R71 : F25,F5 - F55
R72 : F37,F22 - F56
R73 : F47,F22 - F56
R74 : F53,F22 - F56
R75 : F34,F2 - F57
R76 : F28,F38 - F58
R77 : F18,F30 - F59
R78 : S2,F37 - F60
R79 : F28,F34 - F61
R80 : S1,F38 - F62
R81 : F7,F38 - F62
R82 : F17,F38 - F62
R83 : F43,F43 - F63
R84 : F18,F43 - F64
R85 : F40,F2 - F65
R86 : F20,F38 - F66
R87 : F36,F36 - F67
R88 : S4,F30 - F68
R89 : F37,F40 - F69
R90 : S4,F36 - F70
R91 : F34,S3 - F71
R92 : F20,F37 - F711
R93 : F37,F39 - F72
R94 : S3,F44 - F722
R95 : F34,F25 - F73
R96 : S2,F38 - F74
R97 : S4,F60 - F75
R98 : F40,F65 - F76
R99 : F65,F38 - F77
R100 : F60,F48 - F78
R101 : F70,F34 - F79
R102 : F43,F70 - F80
R103 : F38,F74 - F81
R104 : F74,F66 - F82
R105 : F65,F20 - F83
R106 : F60,F34 - F84 
R107 : F34,F74 - F85
R108 : F52,F65 - F86
R109 : F18,F60 - F87
R110 : F34,F50 - F88
R111 : F31,F74 - F89
R112 : F37,F60 - F90
R113 : S1,F65 - F91
R114 : S4,F68 - F92
R115 : F57,F60 - F93
R116 : F60,F43 - F94
R117 : F38,F66 - F95
R118 : F53,S4 - F96
R119 : F18,F74 - F97
R120 : S4,F59 - F98
R121 : S4,F65 - F99
R122 : S2,F52 - F100
R123 : F53,F20 - F101
R124 : F6,F74 - F102
R125 : F55,F34 - F103
R126 : F34,F65 - F104
R127 : F48,F48 - F105
R128 : F48,F31 - F106
R129 : F63,F38 - F107
R130 : F74,F18 - F108
R131 : F48,F34 - F109
R132 : F60,F38 - F110
R133 : F66,F7 - F111
R134 : F66,F17 - F111
R135 : F37,F60 - F112
R136 : F63,F63 - F113
R137 : F59,F68 - F114
R138 : F36,F70 - F115
R139 : F63,F22 - F116
R140 : F60,F63 - F117
R141 : F57,F34 - F118
